,delta,nodes_cc,length_cc,i,j
62,9356.59279443933,33068.0,1439.474751999992,1779276838.0,46476821.0
63,9368.101993043854,33082.0,1440.313011999992,378294815.0,585164412.0
64,9462.148025862489,33096.0,1440.5555499999916,775220325.0,775220337.0
65,9513.955503329367,33109.0,1441.0029809999905,1119952621.0,46466203.0
66,9543.491278437139,33122.0,1441.6273849999916,46543487.0,46544193.0
67,9641.757039628717,33135.0,1441.930720999992,46552153.0,46553810.0
68,9871.463462551395,33147.0,1442.3335469999913,73758860.0,784067178.0
69,9999.729299740664,33159.0,1443.1933209999909,46286938.0,46283595.0
70,10018.076011217958,33171.0,1443.5093149999911,734698909.0,1329000829.0
71,10067.703479749998,33183.0,1443.7722609999914,46381518.0,46382063.0
72,10433.34725579011,33195.0,1444.1553349999913,5028936633.0,5028949570.0
73,10552.79555232751,33207.0,1444.5499429999898,1360320371.0,5511515430.0
74,10607.372623560475,33218.0,1444.72775499999,104364834.0,104364827.0
75,10755.678835643548,33229.0,1445.251392999991,1998460040.0,46304196.0
76,10780.02469439827,33240.0,1445.7067399999903,1379352956.0,46362856.0
77,10822.76950576824,33251.0,1446.0591579999905,1327562440.0,428893856.0
78,10827.35868844336,33262.0,1446.4513259999908,1071448126.0,5826014390.0
79,10868.334528314947,33273.0,1446.9699679999912,30664299.0,254437057.0
80,10871.515424188787,33284.0,1447.0348409999913,5350692540.0,764444234.0
81,10942.483611049996,33295.0,1447.362822999991,2342969612.0,2337204775.0
82,11038.348726278182,33305.0,1447.9886409999915,351436661.0,117160780.0
83,11113.246601178982,33315.0,1448.290913999991,67021400.0,46097458.0
84,11136.12531253756,33325.0,1448.7506859999905,1463987253.0,46293763.0
85,11187.33078079984,33335.0,1449.0222629999907,46395415.0,46393325.0
86,11234.349947815746,33345.0,1449.63943099999,5828012921.0,46400295.0
87,11268.175782425382,33355.0,1450.604116999991,46425124.0,452003299.0
88,11274.381517223948,33365.0,1450.9851659999897,1366582909.0,46450853.0
89,11352.00077597675,33375.0,1451.1240109999899,46483027.0,4417433241.0
90,11572.810693459254,33385.0,1451.6179669999908,31131824.0,46542228.0
91,11620.908290444779,33395.0,1451.9266719999898,1334494299.0,1334494303.0
92,11664.241445387115,33404.0,1452.0628829999891,103066568.0,46296924.0
93,11748.60032518628,33413.0,1452.3803229999894,1638916772.0,1616872441.0
94,11749.842887248575,33422.0,1452.574624999989,2921617328.0,1801588911.0
95,11862.159946722124,33431.0,1452.9375189999885,1366582892.0,46456480.0
96,12034.395886168097,33440.0,1453.4632219999885,46465706.0,46463889.0
97,12267.689867942945,33449.0,1453.8933239999874,46487943.0,46488741.0
98,12723.307824263964,33458.0,1454.680661999988,1125265653.0,73752562.0
99,12806.463021819074,33467.0,1454.9816179999884,1318766133.0,2915175471.0
100,12811.250433932799,33476.0,1455.0217659999885,46339829.0,438189077.0
101,12868.186740811676,33485.0,1455.2685999999883,4380705304.0,1719213340.0
102,12939.152982594549,33493.0,1455.4811499999885,84691329.0,130578032.0
103,12950.792041182276,33501.0,1455.807326999988,616318459.0,46253226.0
104,12968.449055493551,33509.0,1456.1634069999877,4953012067.0,46258950.0
105,12969.759147560999,33517.0,1456.606137999989,254477829.0,46281124.0
106,12987.49792187496,33525.0,1456.7647839999886,46285711.0,46286583.0
107,13055.074499183736,33533.0,1456.8948669999886,46347546.0,46346658.0
108,13095.092508196589,33541.0,1457.085996999989,2020568990.0,798909747.0
109,13113.301937273254,33549.0,1457.322317999989,4248473860.0,46472526.0
110,13132.913001797771,33557.0,1457.672709999989,46475775.0,5290449515.0
111,13184.91302742659,33565.0,1457.8135279999885,46482216.0,46482191.0
112,13226.332287550662,33573.0,1457.9891089999892,4856071981.0,46561189.0
113,13316.004720299747,33581.0,1458.323115999989,46564637.0,46566506.0
114,13378.053756717069,33589.0,1458.5268099999894,46343658.0,90736259.0
115,13414.646810029933,33597.0,1458.9222559999887,3271181666.0,416986757.0
116,13422.112481741655,33605.0,1459.1924489999892,46479474.0,1258539694.0
117,13642.127914586761,33613.0,1459.640750999989,174004788.0,1327347984.0
118,13680.892630415428,33621.0,1460.040094999989,4163307423.0,5139590202.0
119,13977.79437734499,33628.0,1460.3878909999892,46101895.0,46112689.0
120,13987.915789590963,33635.0,1460.438623999989,46315404.0,46314773.0
121,14097.408321161669,33642.0,1460.5353299999888,1998617484.0,46318988.0
122,14328.826265711967,33649.0,1460.6455859999892,5581187048.0,46322004.0
123,14356.601635589768,33656.0,1460.715305999989,46351122.0,601499185.0
124,14378.130145770081,33663.0,1460.871737999989,1602707046.0,46357842.0
125,14414.062788814717,33670.0,1461.172635999989,382039953.0,46359724.0
126,14422.426217176107,33677.0,1461.3713439999883,252100236.0,46361435.0
127,14490.219505613486,33684.0,1461.6752499999884,1306552875.0,252120288.0
128,14653.357476825144,33691.0,1462.0814399999886,2622501659.0,2621617441.0
129,14697.192123184795,33698.0,1462.424759999988,1035251606.0,46410634.0
130,14736.728944064718,33705.0,1462.5094219999887,46425290.0,3006515245.0
131,14742.53150632079,33712.0,1462.5410989999884,543807790.0,5713213409.0
132,14763.834342969682,33719.0,1462.7444639999887,26608418.0,46441664.0
133,14821.725473395338,33726.0,1462.9530539999882,267044562.0,46438867.0
134,15011.767931695289,33733.0,1463.0318739999884,46449525.0,2365438626.0
135,15051.26864838158,33740.0,1463.2566559999887,46461915.0,46461430.0
136,15135.093384749558,33747.0,1463.3629599999886,823066619.0,46466890.0
137,15182.783344805728,33754.0,1463.512579999989,46470607.0,46469932.0
138,15197.06998728437,33761.0,1464.1281869999884,46527260.0,46527066.0
139,15330.42157962448,33768.0,1464.6640049999883,46560750.0,46557289.0
140,15435.185142558175,33775.0,1464.837764999988,46561189.0,46558416.0
141,15469.253397071563,33782.0,1464.998696999988,700727944.0,1334408135.0
142,15549.487267511873,33789.0,1465.0570829999888,1412543303.0,1353771785.0
143,15648.593222492265,33796.0,1465.2300229999878,1358196975.0,512195015.0
144,15780.93778171855,33803.0,1465.3305959999882,46404331.0,1340943626.0
145,15970.858356005014,33809.0,1465.4904059999888,3179352395.0,3179352393.0
146,15987.606048950905,33815.0,1465.637021999988,46268923.0,300930444.0
147,15993.682228298076,33821.0,1465.651687999988,3899003457.0,46276230.0
148,16062.201901331007,33827.0,1465.7352759999885,46289685.0,2178195426.0
149,16099.645287182035,33833.0,1465.9151819999886,1343266742.0,46297665.0
150,16118.6558299422,33839.0,1465.9557099999888,46309273.0,46309910.0
151,16175.157633119155,33845.0,1465.9748499999887,283328006.0,46313087.0
152,16189.640473468275,33851.0,1466.1057289999892,46327568.0,46327862.0
153,16215.460519971071,33857.0,1466.493143999989,46346212.0,46346060.0
154,16289.423960737466,33863.0,1466.584443999989,4393401620.0,46382485.0
155,16367.205531088237,33869.0,1466.6532849999887,1802516947.0,46414264.0
156,16412.04795445591,33875.0,1466.8505989999887,5897144795.0,46425115.0
157,16803.416169546897,33881.0,1467.6732789999894,46528647.0,46524605.0
